outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),18.341,0.382,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),0.114,0.267,0.668,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.445,0.387,0.2504,
Verbal Fluency,time,0.088,0.082,0.282,
Verbal Fluency,time_sq,-0.039,0.01,2e-4,***
Verbal Fluency,age_c,-0.248,0.012,0,***
Verbal Fluency,sex_factorFemale,0.422,0.216,0.0508,.
Verbal Fluency,education_3catIntermediate (A/O level),1.921,0.277,0,***
Verbal Fluency,education_3catHigher (degree/equiv),2.964,0.277,0,***
Verbal Fluency,wealth_quintileQ2,0.413,0.359,0.2502,
Verbal Fluency,wealth_quintileQ3,1.585,0.361,0,***
Verbal Fluency,wealth_quintileQ4,2.054,0.364,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),2.443,0.375,0,***
Verbal Fluency,cesd_total,-0.441,0.058,0,***
Verbal Fluency,has_diabetes,-0.327,0.704,0.6425,
Verbal Fluency,has_cvd,-0.256,0.495,0.6053,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.224,0.122,0.067,.
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,0.086,0.183,0.6389,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time_sq,0.021,0.016,0.1711,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.02,0.024,0.4215,
Delayed Recall,(Intercept),3.418,0.111,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.135,0.079,0.0886,.
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.22,0.115,0.0557,.
Delayed Recall,time,-0.118,0.023,0,***
Delayed Recall,time_sq,0.002,0.003,0.4115,
Delayed Recall,age_c,-0.087,0.004,0,***
Delayed Recall,sex_factorFemale,0.552,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.619,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.895,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.303,0.104,0.0036,**
Delayed Recall,wealth_quintileQ3,0.524,0.104,0,***
Delayed Recall,wealth_quintileQ4,0.696,0.105,0,***
Delayed Recall,wealth_quintileQ5 (Highest),0.879,0.108,0,***
Delayed Recall,cesd_total,-0.112,0.017,0,***
Delayed Recall,has_diabetes,0.019,0.203,0.9259,
Delayed Recall,has_cvd,-0.158,0.144,0.2725,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.007,0.035,0.8322,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,0.019,0.052,0.7225,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,0,0.004,0.9881,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.007,0.007,0.3315,
Immediate Recall,(Intercept),4.927,0.09,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.114,0.067,0.0908,.
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.207,0.097,0.0338,*
Immediate Recall,time,-0.093,0.022,0,***
Immediate Recall,time_sq,0.001,0.003,0.6804,
Immediate Recall,age_c,-0.067,0.003,0,***
Immediate Recall,sex_factorFemale,0.421,0.049,0,***
